Name	Value.id	Value.chineseS	Value.chineseT	Value.english	Value.japanese	Value.german	Value.chineseH	korean
TextConfig	1000001	开始游戏	開始遊戲	Start Game	始める	Spiel starten		시작
TextConfig	1000002	设置	設定	Settings	オプション	Einstellungen		설정
TextConfig	1000003	制作组	製作組	Credits	クレジット	Entwicklerteam		제작진
TextConfig	1000004	退出	退出	Exit	終了	Beenden		종료
TextConfig	1000005	加入愿望单！	加入願望清單！	Add to Wishlist	ウィッシュリストに追加！	Zur Wunschliste hinzufügen!		위시리스트에 추가!
TextConfig	1000006	Bug反馈	Bug反馈	Report Bug	バグ報告	Bug melden		버그 제보
TextConfig	1000007	您确定要删除这个存档吗?	您確定要刪除這個存檔嗎?	Are you sure you want to delete your save data?	本当にこのセーブデータを削除しますか？	Sind Sie sicher, dass Sie dieses Archiv löschen möchten?		정말 저장된 데이터를 삭제하시겠습니까?
TextConfig	1000008	空	空	Empty	空きスロット	Leer		빈 슬롯
TextConfig	1000009	位置	位置	Slot	現在地	Position		위치
TextConfig	1000010	魔法水晶	魔法水晶	Magic Crystal	魔法水晶	Magischer Kristall		마법수정
TextConfig	1000011	古神之血	古神之血	Ancient Blood	古神の血	Blut des Alten Gottes	古神精华	고대신의 피
TextConfig	1000012	游戏时长	遊戲時長	Game Time	プレイ時間	Spielzeit		플레이 타임
TextConfig	1000013	时	時	h	時	h		시
TextConfig	1000014	分	分	m	分	m		분
TextConfig	1000015	是否跳过剧情	是否跳過劇情	Skip the story?	ストーリーをスキップしますか？	Möchten Sie die Zwischensequenz überspringen?		스토리를 건너뛰시겠습니까?
TextConfig	1000016	Bilibili 六万预约奖励	Bilibili 六萬預約獎勵	Bilibili 60k Pre-registration Reward	Bilibili 6万予約特典	Bonus für 60.000 Reservierungen auf Bilibili	奖励外观1	BilliBill 6만 사전등록 보상
TextConfig	1000017	Bilibili 十万预约奖励	Bilibili 十萬預約獎勵	Bilibili 100k Pre-registration Reward	Bilibili 10万予約特典	Bonus für 100.000 Reservierungen auf Bilibili	奖励外观2	BilliBill 10만 사전등록 보상
TextConfig	1000018	默认外观	默認外觀	Default	デフォルトの外観	Standard-Skin		기본 외형
TextConfig	1000019	秒	秒	s	秒	Sekunden		초
TextConfig	1000020	混沌核心	混沌覈心	Chaotic Core	カオスコア	Chaos-Kern		혼돈의핵
TextConfig	1000021	退出游戏	退出遊戲	Exit Game	ゲームを終了する	Spiel beenden		게임 종료
TextConfig	1000022	完成难度	完成難度	Complete Difficulty	クリア済み	Schwierigkeitsgrad		클리어 난이도
TextConfig	1000023	小电视外观	小電視外觀	Little TV	Bilibili	Kleines Fernsehen Skin		Bilibili
TextConfig	1000024	女流联动外观	女流聯動外觀	66 Crossover	66コラボ外観	Kooperation mit „Nüliu“ Skin		여류66 콜라보 외형
TextConfig	1000025	无	無	None	なし	Keine		없음
TextConfig	1000026	老番茄联动外观	老蕃茄聯動外觀	OldTomato Crossover	OldTomatoコラボ外観	Kooperation mit „Laofanqie“ Skin		OldTomato 콜라보 외형
TextConfig	1000027	动作天尊	動作天尊	Action Heavenly	動作天尊	Aktion Himmlisch		Action Heavenly
TextConfig	1000101	综合	綜合	General	全般	Allgemein		전반
TextConfig	1000102	控制	控制	Controls	コントロール	Steuerung		컨트롤
TextConfig	1000103	语言	語言	Language	言語	Sprache		언어
TextConfig	1000104	重置	重設	Reset	リセット	Zurücksetzen		리셋
TextConfig	1000105	好	好	Confirm	OK	Bestätigen		확인
