Name	Value.id	Value.chineseS	Value.chineseT	Value.english	Value.japanese	Value.german	Value.chineseH	ct	e	j	k
TextConfig	1000001	开始游戏	開始遊戲	Start Game	始める	Spiel starten		게임 시작	게임 시작	시작하다	시작
TextConfig	1000002	设置	設定	Settings	オプション	Einstellungen		설정	로드 중...	로드 중...	설정
TextConfig	1000003	制作组	製作組	Credits	クレジット	Entwicklerteam		생산팀	로드 중...	로드 중...	제작진
TextConfig	1000004	退出	退出	Exit	終了	Beenden		그만두다	출구	종료	종료
TextConfig	1000005	加入愿望单！	加入願望清單！	Add to Wishlist	ウィッシュリストに追加！	Zur Wunschliste hinzufügen!		로드 중...	위시리스트에 추가	위시리스트에 추가!	위시리스트에 추가!
TextConfig	1000006	Bug反馈	Bug反馈	Report Bug	バグ報告	Bug melden		로드 중...	버그 신고	버그 보고서	버그 제보
TextConfig	1000007	您确定要删除这个存档吗?	您確定要刪除這個存檔嗎?	Are you sure you want to delete your save data?	本当にこのセーブデータを削除しますか？	Sind Sie sicher, dass Sie dieses Archiv löschen möchten?		이 아카이브를 삭제하시겠습니까?	로드 중...	정말이 저장 데이터를 삭제하시겠습니까?	정말 저장된 데이터를 삭제하시겠습니까?
TextConfig	1000008	空	空	Empty	空きスロット	Leer		null	로드 중...	로드 중...	빈 슬롯
TextConfig	1000009	位置	位置	Slot	現在地	Position		위치	슬롯	현재 위치	위치
TextConfig	1000010	魔法水晶	魔法水晶	Magic Crystal	魔法水晶	Magischer Kristall		마법의 수정	마법의 수정	마법 수정	마법수정
TextConfig	1000011	古神之血	古神之血	Ancient Blood	古神の血	Blut des Alten Gottes	古神精华	고대 신의 피	고대의 피	고신의 피	고대신의 피
TextConfig	1000012	游戏时长	遊戲時長	Game Time	プレイ時間	Spielzeit		게임 시간	로드 중...	로드 중...	플레이 타임
TextConfig	1000013	时	時	h	時	h		시간	시간	시간	시
TextConfig	1000014	分	分	m	分	m		가리키다	중	분	분
TextConfig	1000015	是否跳过剧情	是否跳過劇情	Skip the story?	ストーリーをスキップしますか？	Möchten Sie die Zwischensequenz überspringen?		로드 중...	스토리를 건너뛰시겠어요?	스토리를 건너뛰시겠습니까?	스토리를 건너뛰시겠습니까?
TextConfig	1000016	Bilibili 六万预约奖励	Bilibili 六萬預約獎勵	Bilibili 60k Pre-registration Reward	Bilibili 6万予約特典	Bonus für 60.000 Reservierungen auf Bilibili	奖励外观1	Bilibili 60,000 예약 보상	Bilibili 60k 사전 등록 보상	Bilibili 6만예약 혜택	BilliBill 6만 사전등록 보상
TextConfig	1000017	Bilibili 十万预约奖励	Bilibili 十萬預約獎勵	Bilibili 100k Pre-registration Reward	Bilibili 10万予約特典	Bonus für 100.000 Reservierungen auf Bilibili	奖励外观2	Bilibili 100,000 예약 보상	Bilibili 100k 사전 등록 보상	Bilibili 10만예약 혜택	BilliBill 10만 사전등록 보상
TextConfig	1000018	默认外观	默認外觀	Default	デフォルトの外観	Standard-Skin		기본 모양	로드 중...	로드 중...	기본 외형
TextConfig	1000019	秒	秒	s	秒	Sekunden		두번째	에스	초	초
TextConfig	1000020	混沌核心	混沌覈心	Chaotic Core	カオスコア	Chaos-Kern		카오스 코어	혼돈의 핵	로드 중...	혼돈의핵
TextConfig	1000021	退出游戏	退出遊戲	Exit Game	ゲームを終了する	Spiel beenden		게임 종료	로드 중...	로드 중...	게임 종료
TextConfig	1000022	完成难度	完成難度	Complete Difficulty	クリア済み	Schwierigkeitsgrad		완료 난이도	완전한 난이도	로드 중...	클리어 난이도
TextConfig	1000023	小电视外观	小電視外觀	Little TV	Bilibili	Kleines Fernsehen Skin		로드 중...	로드 중...	로드 중...	Bilibili
TextConfig	1000024	女流联动外观	女流聯動外觀	66 Crossover	66コラボ外観	Kooperation mit „Nüliu“ Skin		로드 중...	66 크로스오버	로드 중...	여류66 콜라보 외형
TextConfig	1000025	无	無	None	なし	Keine		없음	없음	없음	없음
TextConfig	1000026	老番茄联动外观	老蕃茄聯動外觀	OldTomato Crossover	OldTomatoコラボ外観	Kooperation mit „Laofanqie“ Skin		로드 중...	올드토마토 크로스오버	OldTomato 콜라보레이션 외관	OlTomato 콜라보 외형
TextConfig	1000027	动作天尊	動作天尊	Action Heavenly	動作天尊	Aktion Himmlisch		액션 신	액션 헤븐리	동작 천존	Action Heavenly
TextConfig	1000101	综合	綜合	General	全般	Allgemein		포괄적인	로드 중...	일반	전반
TextConfig	1000102	控制	控制	Controls	コントロール	Steuerung		제어	로드 중...	로드 중...	컨트롤
TextConfig	1000103	语言	語言	Language	言語	Sprache		언어	로드 중...	언어	언어
TextConfig	1000104	重置	重設	Reset	リセット	Zurücksetzen		다시 놓기	로드 중...	리셋	리셋
TextConfig	1000105	好	好	Confirm	OK	Bestätigen		좋은	로드 중...	OK	확인
TextConfig	1000106	音乐	音樂	Music	音楽	Musik		음악	로드 중...	음악	음악
TextConfig	1000107	音效	音效	Sound Effects	効果音	Soundeffekte		음향 효과	음향 효과	효과음	효과음
TextConfig	1000108	全屏	全螢幕	Full Screen	フルスクリーン	Vollbild		전체 화면	전체 화면	로드 중...	전체화면
TextConfig	1000109	垂直同步	垂直同步	V Sync	垂直同期	Vertikale Synchronisation		수직동기화	로드 중...	수직 동기화	수직 동기화
TextConfig	1000110	其他	其他	Others	その他	Andere		다른	로드 중...	기타	그 외
TextConfig	1000111	伤害飘字	傷害飄字	Damage Numbers	ダメージ数値	Schadenszahlenanzeige		피해 단어	피해량	로드 중...	피해수치
TextConfig	1000112	关闭后可略微提升性能，如果你卡的话可以考虑	去掉後可略微提升性能，如果你卡的話可以考慮	Turning this off may slightly improve performance if you experience lag.	非表示にすると少しだけゲームがスムーズに動くようになります	Deaktivieren, um die Leistung geringfügig zu verbessern. Bei Problemen könnte dies helfen		이를 제거하면 성능이 약간 향상될 수 있습니다. 막히면 고려해 볼 수 있습니다.	로드 중...	숨기면 조금만 게임이 원활하게 움직일 수 있습니다.	이 효과를 끄면 약간의 성능 향상이 있을 수 있습니다
TextConfig	1000113	震屏强度	震動	Screen Shake Intensity	画面振動	Bildschirmvibrationen-Stärke		충격	화면 흔들림 강도	화면 진동	화면 진동
TextConfig	1000114	向上移动	向上移動	Move Up	上に移動	Nach oben bewegen		위로 이동	로드 중...	위로 이동	위로 이동
TextConfig	1000115	向下移动	向下移動	Move Down	下に移動	Nach unten bewegen		아래로 이동	로드 중...	아래로 이동	아래로 이동
TextConfig	1000116	向左移动	向左移動	Move Left	左に移動	Nach links bewegen		왼쪽으로 이동	로드 중...	왼쪽으로 이동	왼쪽으로 이동
TextConfig	1000117	向右移动	向右移動	Move Right	右に移動	Nach rechts bewegen		오른쪽으로 이동	오른쪽으로 이동	오른쪽으로 이동	오른쪽으로 이동
TextConfig	1000118	交互	互動	Interact	使用	Interagieren		대화형	로드 중...	사용	사용
TextConfig	1000119	开/关背包	開/關背包	Open/Close Inventory	バッグを開く/閉じる	Inventar öffnen/schließen		로드 중...	재고 열기/닫기	가방 열기/닫기	가방 여/닫기
TextConfig	1000120	施法	施法	Cast	詠唱	Zaubern		주문을 걸다	깁스	시전	시전
TextConfig	1000121	法杖切换	法杖切換	Switch Wand	杖切り替え	Zauberstab wechseln		직원 스위치	스위치 완드	로드 중...	지팡이 교체
TextConfig	1000122	各个法杖	各個法杖	Select Wand	すべての杖	Verschiedene Zauberstäbe		각 직원	지팡이 선택	로드 중...	지팡이 선택
TextConfig	1000123	使用药水	使用藥水	Use Potion	薬を使用	Zaubertrank benutzen		물약을 사용하세요	물약 사용	마약 사용	포션 사용
TextConfig	1000124	切换药水	切換藥水	Switch Potion	薬を切り替え	Zaubertrank wechseln		물약을 바꾸다	물약 전환	로드 중...	포션 교체
TextConfig	1000125	快速拆卸	快速拆卸	Quick Unequip	まとめて取り外す	Schnelle Demontage		빠른 분해	빠른 장비 해제	로드 중...	빠른 해제
TextConfig	1000126	当前设备：键盘/鼠标	目前裝置：鍵盤/滑鼠	Current Device: Keyboard/Mouse	現在の設備：キーボード/マウス	Aktuelles Gerät: Tastatur/Maus		현재 장치: 키보드/마우스	현재 장치: 키보드/마우스	현재 장비: 키보드/마우스	현재 장치: 키보드
TextConfig	1000127	当前设备：控制器	目前裝置：控制器	Current Device: Controller	現在の設備：コントローラー	Aktuelles Gerät:Kontroller		로드 중...	현재 장치: 컨트롤러	현재 시설: 컨트롤러	현재 장치: 컨트롤러
TextConfig	1000128	移动方向	移動方向	Movement Direction	方向移動	Bewegungsrichtung		움직이는 방향	이동 방향	방향 이동	이동 방향
TextConfig	1000129	瞄准方向	瞄準方向	Aim Direction	照準方向	Zielrichtung		조준 방향	조준 방향	조준 방향	조준 방향
TextConfig	1000130	上一个法杖	上一個法杖	Previous Wand	前の杖	Vorheriger Zauberstab		로드 중...	이전 지팡이	이전 지팡이	이전 지팡이
TextConfig	1000131	下一个法杖	下一個法杖	Next Wand	次の杖	Nächster Zauberstab		로드 중...	로드 중...	다음 지팡이	다음 지팡이
TextConfig	1000132	丢弃物品	丟棄物品	Discard Item	アイテムの破棄	Gegenstand abwerfen		아이템 버리기	아이템 버리기	로드 중...	물품 버리기
TextConfig	1000133	移动物品	移動物品	Move Item	アイテムの移動	Gegenstand verschieben		항목 이동	로드 중...	로드 중...	물품 이동
TextConfig	1000134	取消/返回	取消/返回	Cancel/Back	キャンセル/戻る	Abbrechen/Zurück		로드 중...	취소/뒤로	로드 중...	취소/돌아가기
TextConfig	1000135	开	開	On	オン	Ein		열려 있는	~에	켜짐	켜기
TextConfig	1000136	关	關	Off	オフ	Aus		닫다	끄다	꺼짐	끄기
TextConfig	1000137	控制	控制	Controls	コントロール	Steuerung		제어	로드 중...	로드 중...	통제
TextConfig	1000138	游戏性	遊戲性	Gameplay	ゲーム性	Gameplay		게임플레이	로드 중...	게임성	게임플레이
TextConfig	1000139	视频&音频	影片&音訊	Video & Audio	グラフィック/オーディオ	Video & Audio	视频、音频	로드 중...	비디오 및 오디오	그래픽/오디오	비디오&오디오
TextConfig	1000140	其它	其它	Other	その他	Andere		다른	로드 중...	기타	기타
TextConfig	1000141	视频	影片	Video	グラフィック	Video		동영상	로드 중...	로드 중...	그래픽
TextConfig	1000142	分辨率	解析度	Resolution	解像度	Auflösung		해결	해결	해상도	해상도
TextConfig	1000143	音频	音訊	Audio	オーディオ	Audio		소식	로드 중...	로드 중...	오디오
TextConfig	1000144	总音量	總音量	Master Volume	全体音量	Gesamtlautstärke		총량	마스터 볼륨	전체 볼륨	전체 볼륨
TextConfig	1000145	上一个药水	上一個藥水	Previous Potion	前の薬	Vorheriger Zaubertrank		로드 중...	이전 물약	이전 약	이전 포션
TextConfig	1000146	下一个药水	下一個藥水	Next Potion	次の薬	Nächster Zaubertrank		로드 중...	다음 물약	다음 약	다음 포션
TextConfig	1000147	菜单	選單	Menu	メニュー	Menü		메뉴	메뉴	메뉴	메뉴
TextConfig	1000148	按下任意键	按下任何鍵	Press Any Key	どれかキーを押してください	Beliebige Taste drücken		로드 중...	아무 키나 누르세요	아무 키나 눌러	아무 키나 누르세요
TextConfig	1000149	战斗UI快捷键	戰鬥UI快速鍵	Battle UI Shortcuts	バトルUIクイックキー	Kampf-UI Kurzbefehl		로드 중...	전투 UI 단축키	배틀 UI 퀵 키	전투 UI 단축키
TextConfig	1000150	使用U键隐藏和显示战斗UI	使用U鍵隱藏和顯示戰鬥UI	Press "U" to toggle the display of Battle UI	UキーでバトルUIを隠す/表示	Mit der „U“-Taste das Kampf-UI ein-/ausblenden		U 키를 사용하여 전투 UI 숨기기 및 표시	로드 중...	U 키로 전투 UI 숨기기/표시	U 키로 전투 UI 숨기기/표시
TextConfig	1000151	显示变异脖子	顯示變異脖子	Display Mutated Neck	首の変異を表示	Mutierten Hals anzeigen		로드 중...	변형된 목 표시	로드 중...	변형된 목 표시
TextConfig	1000152	关闭变异脖子，可以关闭遗物带来的脖子变异效果	關閉變異脖子，可以關閉遺物帶來的脖子變異效果	Disable Mutated Neck. Turn off the neck mutation effect caused by relics.	遺物による首の変異効果を隠せます。	Mutierten Hals deaktivieren, um den von Relikten verursachten Hals-Mutationen-Effekt zu deaktivieren		변이된 목을 끄면 유물로 인한 목 변이 효과가 꺼집니다.	로드 중...	유물에 의한 목의 돌연변이 효과를 숨길 수 있습니다.	유물에 의한 목의 돌연변이 효과를 숨길 수 있습니다.
TextConfig	1000153	法术透明度	法術透明度	Spell Transparency	呪文透明度	Zauber-Transparenz		로드 중...	철자 투명성	로드 중...	주문 투명도
